Taxon	PercentMissingData
Droe	75.5158120255228
Mdap	70.23659820222626
Cdik	69.68469097852918
Metch	68.4690978529179
Amph	67.11145265707233
Heri	61.16855293186158
Psac	50.05356061664571
Pneu	48.75646220483443
Ecan	43.77532485678357
Rall	43.30259419682363
Eaed	43.223417633086484
Ehep	42.26631270085231
Bden	37.499417819384284
Amac	35.983419496064464
Ebien	35.67602813096735
Psp	34.77481253784174
Thom	34.49303711983605
Dmul	33.473056681104744
Napi	30.722835452470775
Nparm1	30.324623911322245
Ndis	30.122025057053705
Np1E6	27.919053607191096
Nspm5	27.548786735596853
Vcul	27.28564109729402
Trat	25.187462158259976
Aalg	24.14186577243724
Vcor	23.072982161985934
Htva	22.809836523683106
Hmag	21.19137441199758
Nbom	20.2505705370034
Slop	17.733221554655117
NYNPr	12.193190815518607
Aloc	10.141586325741699
Tcon	6.084951795445019
Nant	4.7249778771366024
Ngra	3.5792464254110192
Ncer	1.9607843137254901
Eroe	0.7056029062456336
Ecun	0.454100880257091
Ocol	0.4028689860742397
Eint	0.19328396441712076
Ehel	0.15369568254855387
